code,name,url,type,manager,company
64,000075,华夏恒生联接现汇,http://fund.eastmoney.com/000075.html,QDII-指数,张弘弢,华夏基金
65,000076,华夏恒生联接现钞,http://fund.eastmoney.com/000076.html,QDII-指数,张弘弢,华夏基金
66,000077,工银信用纯债一年定开债券C,http://fund.eastmoney.com/000077.html,定开债券,何秀红,工银瑞信基金
67,000078,工银信用纯债两年定开债券A,http://fund.eastmoney.com/000078.html,定开债券,何秀红,工银瑞信基金
68,000079,工银信用纯债两年定开债券C,http://fund.eastmoney.com/000079.html,定开债券,何秀红,工银瑞信基金
69,000080,天治可转债A,http://fund.eastmoney.com/000080.html,债券型,王洋,天治基金
70,000081,天治可转债C,http://fund.eastmoney.com/000081.html,债券型,王洋,天治基金
71,000082,嘉实研究阿尔法股票,http://fund.eastmoney.com/000082.html,股票型,张露,嘉实基金
72,000083,汇添富消费行业混合,http://fund.eastmoney.com/000083.html,混合型,胡昕炜,汇添富基金
73,000084,博时安盈债券A,http://fund.eastmoney.com/000084.html,债券型,黄海峰,博时基金
74,000085,博时安盈债券C,http://fund.eastmoney.com/000085.html,债券型,黄海峰,博时基金
75,000086,南方稳利1年定期开放债券A,http://fund.eastmoney.com/000086.html,定开债券,孟飞,南方基金
76,000087,嘉实中证金边国债ETF联接A,http://fund.eastmoney.com/000087.html,联接基金,曲扬,嘉实基金
77,000088,嘉实中证金边国债ETF联接C,http://fund.eastmoney.com/000088.html,联接基金,曲扬,嘉实基金
78,000089,民生加银家盈理财月度A,http://fund.eastmoney.com/000089.html,理财型,李文君,民生加银基金
79,000090,民生加银家盈理财月度B,http://fund.eastmoney.com/000090.html,理财型,李文君,民生加银基金
80,000091,信诚新双盈分级债券,http://fund.eastmoney.com/000091.html,债券型,杨立春,信诚基金
81,000092,信诚新双盈分级债券A,http://fund.eastmoney.com/000092.html,固定收益,杨立春,信诚基金
82,000093,信诚新双盈分级债券B,http://fund.eastmoney.com/000093.html,分级杠杆,杨立春,信诚基金
83,000103,国泰中国企业境外高收益债券,http://fund.eastmoney.com/000103.html,QDII,吴向军,国泰基金
84,000104,华宸信用增利债券,http://fund.eastmoney.com/000104.html,债券型,应晓立,华宸未来基金
85,000105,建信安心回报债券A,http://fund.eastmoney.com/000105.html,定开债券,朱建华,建信基金
86,000106,建信安心回报债券C,http://fund.eastmoney.com/000106.html,定开债券,朱建华,建信基金
87,000107,富国稳健增强债券A/B,http://fund.eastmoney.com/000107.html,债券型,李羿,富国基金
88,000109,富国稳健增强债券C,http://fund.eastmoney.com/000109.html,债券型,李羿,富国基金
89,000110,金鹰元安混合A,http://fund.eastmoney.com/000110.html,混合型,刘丽娟,金鹰基金
90,000111,易方达纯债1年定开债券A,http://fund.eastmoney.com/000111.html,定开债券,李一硕,易方达基金
91,000112,易方达纯债1年定开债券C,http://fund.eastmoney.com/000112.html,定开债券,李一硕,易方达基金
92,000113,嘉实如意宝定期债券A,http://fund.eastmoney.com/000113.html,定开债券,刘宁,嘉实基金
93,000115,嘉实如意宝定期债券C,http://fund.eastmoney.com/000115.html,定开债券,刘宁,嘉实基金
94,000116,嘉实丰益纯债定期债券,http://fund.eastmoney.com/000116.html,定开债券,曲扬,嘉实基金
95,000117,广发轮动配置混合,http://fund.eastmoney.com/000117.html,混合型,吴兴武,广发基金
96,000118,广发聚鑫债券A,http://fund.eastmoney.com/000118.html,债券型,张芊,广发基金
97,000119,广发聚鑫债券C,http://fund.eastmoney.com/000119.html,债券型,张芊,广发基金
98,000120,中银美丽中国混合,http://fund.eastmoney.com/000120.html,混合型,王伟,中银基金
99,000121,华夏永福养老理财混合A,http://fund.eastmoney.com/000121.html,混合型,何家琪,华夏基金
100,000122,汇添富实业债债券A,http://fund.eastmoney.com/000122.html,债券型,曾刚,汇添富基金
101,000123,汇添富实业债债券C,http://fund.eastmoney.com/000123.html,债券型,曾刚,汇添富基金
102,000124,华宝服务优选混合,http://fund.eastmoney.com/000124.html,混合型,楼鸿强,华宝基金
103,000125,上投摩根天颐年丰混合A,http://fund.eastmoney.com/000125.html,混合型,聂曙光,上投摩根基金
104,000126,招商安润保本混合,http://fund.eastmoney.com/000126.html,基金规模,招商基金,基金评级
105,000127,农银行业领先混合,http://fund.eastmoney.com/000127.html,混合型,张峰,农银汇理基金
106,000128,大成景安短融债券A,http://fund.eastmoney.com/000128.html,债券型,张文平,大成基金
107,000129,大成景安短融债券B,http://fund.eastmoney.com/000129.html,债券型,张文平,大成基金
108,000130,大成景兴信用债债券A,http://fund.eastmoney.com/000130.html,债券型,王立,大成基金
109,000131,大成景兴信用债债券C,http://fund.eastmoney.com/000131.html,债券型,王立,大成基金
110,000134,信诚理财28日盈A,http://fund.eastmoney.com/000134.html,理财型,王国强,信诚基金
111,000135,信诚理财28日盈B,http://fund.eastmoney.com/000135.html,理财型,王国强,信诚基金
112,000136,民生加银策略精选混合,http://fund.eastmoney.com/000136.html,混合型,孙伟,民生加银基金
113,000137,民生加银岁岁增利A,http://fund.eastmoney.com/000137.html,定开债券,李慧鹏,民生加银基金
114,000138,民生加银岁岁增利C,http://fund.eastmoney.com/000138.html,定开债券,李慧鹏,民生加银基金
115,000139,富国国有企业债债券A,http://fund.eastmoney.com/000139.html,债券型,王颀亮,富国基金
116,000141,富国国有企业债C级,http://fund.eastmoney.com/000141.html,债券型,王颀亮,富国基金
117,000142,融通通泰保本混合A,http://fund.eastmoney.com/000142.html,基金规模,融通基金,基金评级
118,000143,鹏华双债加利债券,http://fund.eastmoney.com/000143.html,债券型,祝松,鹏华基金
119,000147,易方达高等级信用债A,http://fund.eastmoney.com/000147.html,债券型,张磊,易方达基金
120,000148,易方达高等级信用债C,http://fund.eastmoney.com/000148.html,债券型,张磊,易方达基金
121,000149,华安双债添利债券A,http://fund.eastmoney.com/000149.html,债券型,贺涛,华安基金
122,000150,华安双债添利债券C,http://fund.eastmoney.com/000150.html,债券型,贺涛,华安基金
123,000151,诺安信用一年定开债券,http://fund.eastmoney.com/000151.html,定开债券,岳帅,诺安基金
124,000152,大成景旭纯债A,http://fund.eastmoney.com/000152.html,债券型,陈会荣,大成基金
125,000153,大成景旭纯债C,http://fund.eastmoney.com/000153.html,债券型,陈会荣,大成基金
126,000165,国投瑞银策略精选混合,http://fund.eastmoney.com/000165.html,混合型,陈小玲,国投瑞银基金
127,000166,中海策略精选灵活配置混合,http://fund.eastmoney.com/000166.html,混合型,刘俊,中海基金
128,000167,广发聚优灵活配置混合A,http://fund.eastmoney.com/000167.html,混合型,唐晓斌,广发基金
129,000171,易方达裕丰回报债券,http://fund.eastmoney.com/000171.html,债券型,张清华,易方达基金
130,000172,华泰柏瑞量化增强混合A,http://fund.eastmoney.com/000172.html,混合型,田汉卿,华泰柏瑞基金
131,000173,汇添富美丽30混合,http://fund.eastmoney.com/000173.html,混合型,王栩,汇添富基金
132,000174,汇添富高息债债券A,http://fund.eastmoney.com/000174.html,债券型,陈加荣,汇添富基金
133,000175,汇添富高息债债券C,http://fund.eastmoney.com/000175.html,债券型,陈加荣,汇添富基金
134,000176,嘉实沪深300指数研究增强,http://fund.eastmoney.com/000176.html,股票指数,李欣,嘉实基金
135,000177,嘉实丰益信用定期债券A,http://fund.eastmoney.com/000177.html,定开债券,刘宁,嘉实基金
136,000178,博时灵活配置混合A,http://fund.eastmoney.com/000178.html,混合型,蒋娜,博时基金
137,000179,广发美国房地产指数,http://fund.eastmoney.com/000179.html,QDII-指数,李耀柱,广发基金
138,000180,广发美国房地产指数现汇,http://fund.eastmoney.com/000180.html,QDII-指数,李耀柱,广发基金
139,000181,景顺长城四季金利债券A,http://fund.eastmoney.com/000181.html,债券型,袁媛,景顺长城基金
140,000182,景顺长城四季金利债券C,http://fund.eastmoney.com/000182.html,债券型,袁媛,景顺长城基金
141,000183,嘉实丰益策略定期债券,http://fund.eastmoney.com/000183.html,定开债券,胡永青,嘉实基金
142,000184,工银添福债券A,http://fund.eastmoney.com/000184.html,债券型,杜海涛,工银瑞信基金
143,000185,工银添福债券B,http://fund.eastmoney.com/000185.html,债券型,杜海涛,工银瑞信基金
144,000186,华泰柏瑞季季红债券,http://fund.eastmoney.com/000186.html,债券型,陈东,华泰柏瑞基金
145,000187,华泰柏瑞丰盛纯债债券A,http://fund.eastmoney.com/000187.html,债券型,陈东,华泰柏瑞基金
146,000188,华泰柏瑞丰盛纯债债券C,http://fund.eastmoney.com/000188.html,债券型,陈东,华泰柏瑞基金
147,000189,易方达保本一号混合,http://fund.eastmoney.com/000189.html,基金规模,易方达基金,基金评级
148,000190,中银新回报灵活配置混合,http://fund.eastmoney.com/000190.html,混合型,李建,中银基金
149,000191,富国信用债债券A,http://fund.eastmoney.com/000191.html,债券型,黄纪亮,富国基金
150,000192,富国信用债债券C,http://fund.eastmoney.com/000192.html,债券型,黄纪亮,富国基金
151,000193,国泰美国房地产开发股票,http://fund.eastmoney.com/000193.html,QDII,吴向军,国泰基金
152,000194,银华信用四季红债券,http://fund.eastmoney.com/000194.html,债券型,邹维娜,银华基金
153,000195,工银保本3号混合A,http://fund.eastmoney.com/000195.html,基金规模,工银瑞信基金,基金评级
154,000196,工银保本3号混合B,http://fund.eastmoney.com/000196.html,基金规模,工银瑞信基金,基金评级
155,000197,富国目标收益一年期纯债债券,http://fund.eastmoney.com/000197.html,定开债券,钟智伦,富国基金
