2016-11-01,0.68
2016-10-31,-0.12
2016-10-28,-0.17
2016-10-27,-0.27
2016-10-26,-0.38
2016-10-25,-0.0
2016-10-24,1.2
2016-10-21,0.28
2016-10-20,0.07
2016-10-19,-0.15
2016-10-18,1.33
2016-10-17,-0.85
2016-10-14,0.1
2016-10-13,0.08
2016-10-12,-0.2
2016-10-11,0.39
2016-10-10,1.25
2016-09-30,0.27
2016-09-29,0.42
2016-09-28,-0.3
2016-09-27,0.64
2016-09-26,-1.69
2016-09-23,-0.47
2016-09-22,0.75
2016-09-21,0.28
2016-09-20,-0.17
2016-09-19,0.75
2016-09-14,-0.66
2016-09-13,-0.07
2016-09-12,-1.67
2016-09-09,-0.64
2016-09-08,-0.04
2016-09-07,-0.05
2016-09-06,0.69
2016-09-05,0.17
2016-09-02,0.38
2016-09-01,-0.79
2016-08-31,0.48
2016-08-30,0.13
2016-08-29,0.02
2016-08-26,-0.06
2016-08-25,-0.63
2016-08-24,-0.36
2016-08-23,0.15
2016-08-22,-0.84
2016-08-19,0.02
2016-08-18,-0.25
2016-08-17,-0.15
2016-08-16,-0.45
2016-08-15,3.01
2016-08-12,1.88
2016-08-11,-0.31
2016-08-10,-0.42
2016-08-09,0.7
2016-08-08,0.91
2016-08-05,0.12
2016-08-04,0.24
2016-08-03,0.14
2016-08-02,0.39
2016-08-01,-0.85
2016-07-29,-0.53
2016-07-28,0.09
2016-07-27,-1.57
2016-07-26,1.2
2016-07-25,0.18
2016-07-22,-0.84
2016-07-21,0.46
2016-07-20,-0.33
2016-07-19,-0.42
2016-07-18,-0.43
2016-07-15,-0.01
2016-07-14,-0.19
2016-07-13,0.3
2016-07-12,2.18
2016-07-11,0.35
2016-07-08,-0.55
2016-07-07,-0.21
2016-07-06,0.29
2016-07-05,0.08
2016-07-04,1.6
2016-07-01,0.01
2016-06-30,0.08
2016-06-29,0.48
2016-06-28,0.51
2016-06-27,1.41
2016-06-24,-1.29
2016-06-23,-0.53
2016-06-22,0.89
2016-06-21,-0.2
2016-06-20,0.07
2016-06-17,0.51
2016-06-16,-0.7
2016-06-15,1.31
2016-06-14,0.31
2016-06-13,-3.09
2016-06-08,-0.41
2016-06-07,-0.06
2016-06-06,-0.33
2016-06-03,0.7
2016-06-02,0.21
2016-06-01,-0.28
2016-05-31,3.35
2016-05-30,0.14
2016-05-27,-0.06
2016-05-26,0.16
2016-05-25,-0.14
2016-05-24,-0.77
2016-05-23,0.29
2016-05-20,0.51
2016-05-19,-0.18
2016-05-18,-0.58
2016-05-17,-0.3
2016-05-16,0.66
2016-05-13,-0.49
2016-05-12,0.24
2016-05-11,0.45
2016-05-10,0.11
2016-05-09,-2.07
2016-05-06,-2.6
2016-05-05,0.14
2016-05-04,-0.13
2016-05-03,1.8
2016-04-29,-0.12
2016-04-28,-0.17
2016-04-27,-0.42
2016-04-26,0.54
2016-04-25,-0.41
2016-04-22,0.45
2016-04-21,-0.64
2016-04-20,-1.77
2016-04-19,0.3
2016-04-18,-1.34
2016-04-15,-0.11
2016-04-14,0.44
2016-04-13,1.33
2016-04-12,-0.36
2016-04-11,1.39
2016-04-08,-0.73
2016-04-07,-1.48
2016-04-06,-0.21
2016-04-05,1.32
2016-04-01,0.12
2016-03-31,0.06
2016-03-30,2.58
2016-03-29,-1.08
2016-03-28,-0.88
2016-03-25,0.5
2016-03-24,-1.68
2016-03-23,0.32
2016-03-22,-0.73
2016-03-21,2.44
2016-03-18,1.53
2016-03-17,1.11
2016-03-16,0.5
2016-03-15,0.3
2016-03-14,1.57
2016-03-11,0.17
2016-03-10,-1.91
2016-03-09,-1.15
2016-03-08,0.09
2016-03-07,0.35
2016-03-04,1.16
2016-03-03,0.23
2016-03-02,4.12
2016-03-01,1.85
2016-02-29,-2.39
2016-02-26,1.0
2016-02-25,-6.14
2016-02-24,0.65
2016-02-23,-0.95
2016-02-22,2.21
2016-02-19,-0.07
2016-02-18,-0.31
2016-02-17,0.86
2016-02-16,3.06
2016-02-15,-0.58
2016-02-05,-0.7
2016-02-04,1.23
2016-02-03,-0.43
2016-02-02,2.08
2016-02-01,-1.53
2016-01-29,3.23
2016-01-28,-2.61
2016-01-27,-0.35
2016-01-26,-6.02
2016-01-25,0.5
2016-01-22,1.04
2016-01-21,-2.93
2016-01-20,-1.51
2016-01-19,2.95
2016-01-18,0.39
2016-01-15,-3.19
2016-01-14,2.08
2016-01-13,-1.86
2016-01-12,0.73
2016-01-11,-5.03
2016-01-08,2.04
2016-01-07,-6.93
2016-01-06,1.75
2016-01-05,0.28
2016-01-04,-7.02
