code,return,beta,alpha,r_squared,std,up_days,max_rate,min_rate
000001,-0.0465351480484,1.19789333485,-0.0708284080264,92.2541178284,1.00186181899,226,2.89,-6.27
000011,0.0796405804479,1.53234551304,0.0569406439947,86.0129868971,1.32726378294,249,5.12,-8.16
000017,-0.0563231836589,1.49794079738,-0.0791870234932,86.9691929501,1.29031125898,228,4.44,-7.73
000020,0.122269827869,1.65778488179,0.100167482074,91.3344193694,1.39345675831,244,5.27,-8.17
000021,-0.0321797558593,1.68631414702,-0.0541461888026,96.5674338766,1.37849658841,226,4.76,-8.14
000029,0.0480363299168,1.51326940784,0.0252455152778,87.6396549891,1.29851951387,239,4.33,-7.66
000031,-0.085592906831,1.39761941276,-0.108934675746,87.6314855212,1.19933744999,232,4.38,-7.3
000039,-0.0680055464742,1.66662984964,-0.0900657550187,88.3666385897,1.42422152745,226,4.27,-8.15
000056,0.0946038609046,1.31420577835,0.070864711094,91.7171847182,1.1023527053,235,3.78,-6.83
000057,-0.0786181788869,1.4108625776,-0.101896857628,87.0251354861,1.21491226861,223,3.83,-7.39
000061,-0.116611075669,1.97720133185,-0.137191727849,87.0590269504,1.70226256109,224,5.43,-9.04
000062,-0.00926559459189,0.595958089598,-0.0364264621062,49.0295452618,0.6837059262,204,2.1,-4.38
000063,-0.133301873178,1.95499701552,-0.153988306279,88.1484750715,1.67271231587,221,4.99,-8.7
000065,0.0770103522253,0.130904159826,0.0476339770391,37.9337888483,0.170735131745,213,0.66,-0.64
000073,-0.00470118095519,1.9145169224,-0.0255804604153,82.0390174535,1.6979759782,218,4.98,-8.35
000083,0.153746612741,1.54051802927,0.131085609993,82.3921915003,1.36334671401,237,3.98,-7.26
000110,0.00950635117942,0.0853980131493,-0.0200868143844,37.1805737984,0.112505118205,250,0.58,-1.38
000117,0.0185516783004,1.73670009056,-0.00317471700995,86.1483747289,1.50308603659,232,4.84,-8.95
000120,-0.0448208329414,1.4781213806,-0.0677790920831,86.872497456,1.27394741846,213,4.27,-7.56
