code,name,type,manager,company
000597,中海积极收益混合,混合型,刘俊,中海基金
000598,长盛生态环境主题混合,混合型,刘旭明,长盛基金
000601,华宝创新优选混合,混合型,代云锋,华宝基金
000603,易方达创新驱动灵活配置混合,混合型,樊正伟,易方达基金
000609,华商新量化灵活配置混合,混合型,邓默,华商基金
000612,华宝生态中国混合,混合型,夏林锋,华宝基金
000619,东方红产业升级混合,混合型,王延飞,上海东方证券资产管理
000634,富国天盛灵活配置混合,混合型,袁宜,富国基金
000639,宝盈祥瑞养老混合,混合型,陈若劲,宝盈基金
000646,华润元大医疗保健量化混合,混合型,袁华涛,华润元大基金
000652,博时裕隆混合,混合型,陈鹏扬,博时基金
000654,华商新锐产业混合,混合型,梁永强,华商基金
000663,国投瑞银美丽中国混合,混合型,董晗,国投瑞银基金
000664,国联安通盈混合A,混合型,薛琳,国联安基金
000667,工银绝对收益混合发起A,混合型,游凛峰,工银瑞信基金
000672,工银绝对收益混合发起B,混合型,游凛峰,工银瑞信基金
000679,招商丰利灵活配置混合A,混合型,何文韬,招商基金
000684,长盛养老健康产业灵活配置,混合型,刘旭明,长盛基金
000689,前海开源新经济混合,混合型,丁骏,前海开源基金
000690,前海开源大海洋混合,混合型,吴国清,前海开源基金
000695,大成景益平稳收益混合,混合型,赵世宏,大成基金
000698,宝盈科技30混合,混合型,张仲维,宝盈基金
000706,中邮多策略混合,混合型,陈梁,中邮基金
000708,华安安享混合,混合型,郑可成,华安基金
000714,诺安稳健回报灵活配置混合,混合型,吴博俊,诺安基金
000717,融通转型三动力灵活配置混合,混合型,张延闽,融通基金
000727,融通健康产业灵活配置混合,混合型,万民远,融通基金
000739,平安大华新鑫先锋A,混合型,邓翔,平安大华基金
000742,国泰新经济灵活配置混合,混合型,彭凌志,国泰基金
000743,红塔红土盛世普益混合发起式,混合型,赵耀,红塔红土
000747,广发逆向策略混合,混合型,程琨,广发基金
000753,华宝兴业量化对冲混合A,混合型,徐林明,华宝基金
000754,华宝兴业量化对冲混合C,混合型,徐林明,华宝基金
000755,富安达新兴成长混合,混合型,孙绍冰,富安达基金
000757,华富智慧城市灵活配置混合,混合型,龚炜,华富基金
000762,汇添富绝对收益定开混合,混合型,顾耀强,汇添富基金
000763,工银新财富灵活配置混合,混合型,欧阳凯,工银瑞信基金
000767,华富国泰民安灵活配置混合,混合型,龚炜,华富基金
000772,景顺长城中国回报灵活配置,混合型,杨锐文,景顺长城基金
000788,前海开源中国成长混合,混合型,徐立平,前海开源基金
000794,宝盈睿丰创新混合A,混合型,朱建明,宝盈基金
000796,宝盈睿丰创新混合C,混合型,朱建明,宝盈基金
000800,华商未来主题混合,混合型,梁永强,华商基金
000805,中银新经济灵活配置混合,混合型,史彬,中银基金
000822,东海美丽中国灵活配置,混合型,胡德军,东海基金
000823,银华高端制造业,混合型,薄官辉,银华基金
000824,圆信永丰双红利A,混合型,洪流,圆信永丰基金
000825,圆信永丰双红利C,混合型,洪流,圆信永丰基金
000841,富国新回报灵活配置A,混合型,钟智伦,富国基金
000843,富国新回报灵活配置C,混合型,钟智伦,富国基金
000844,南方绝对收益,混合型,李佳亮,南方基金
000845,国投瑞银信息消费混合,混合型,陈小玲,国投瑞银基金
000849,汇丰晋信双核策略A,混合型,丘栋荣,汇丰晋信基金
000850,汇丰晋信双核策略C,混合型,丘栋荣,汇丰晋信基金
000865,大成景利混合,混合型,赵世宏,大成基金
000870,嘉实新收益混合,混合型,陈少平,嘉实基金
000877,华泰柏瑞量化优选混合,混合型,田汉卿,华泰柏瑞基金
000878,中海医药健康产业混合A,混合型,郑磊,中海基金
000879,中海医药健康产业混合C,混合型,郑磊,中海基金
000880,富国研究精选灵活配置,混合型,李晓铭,富国基金
000886,北信瑞丰无限互联主题灵活配,混合型,高峰,北信瑞丰
000887,上投摩根稳进回报混合,混合型,聂曙光,上投摩根基金
000892,九泰天宝灵活配置混合A,混合型,王玥晰,九泰基金
000894,中欧睿达定期开放,混合型,孙甜,中欧基金
000904,银华回报灵活配置定期开放混,混合型,王斌,银华基金
000924,宝盈先进制造混合,混合型,李健伟,宝盈基金
000926,中信建投睿信灵活配置混合A,混合型,王晓贞,中信建投基金
000928,中融国企改革混合,混合型,解静,中融基金
000929,博时黄金ETFD,混合型,赵云阳,博时基金
000930,博时黄金ETFI,混合型,赵云阳,博时基金
000932,前海开源睿远稳健增利混合A,混合型,刘静,前海开源基金
000933,前海开源睿远稳健增利混合C,混合型,刘静,前海开源基金
000935,汇金转型成长,混合型,赵语涛,浙商证券资管
000936,博时产业新动力混合,混合型,蔡滨,博时基金
000939,中银研究精选灵活配置混合,混合型,赵志华,中银基金
000940,富国中小盘精选混合,混合型,曹晋,富国基金
000945,华夏医疗健康混合A,混合型,陈斌,华夏基金
000946,华夏医疗健康混合C,混合型,陈斌,华夏基金
000953,国泰睿吉灵活配置混合A,混合型,樊利安,国泰基金
000954,国泰睿吉灵活配置混合C,混合型,樊利安,国泰基金
000963,兴业多策略混合,混合型,吴卫东,兴业基金
000965,汇丰晋信新动力混合,混合型,陈平,汇丰晋信基金
000966,中邮核心科技创新灵活配置混合,混合型,曹思,中邮基金
000967,华泰柏瑞创新动力混合,混合型,张慧,华泰柏瑞基金
000969,前海开源大安全混合,混合型,薛小波,前海开源基金
000970,东方红睿元混合,混合型,林鹏,上海东方证券资产管理
000972,新华万银策略灵活配置混合,混合型,崔建波,新华基金
000976,长城新兴产业混合,混合型,陈良栋,长城基金
000977,长城环保主题混合,混合型,何以广,长城基金
000986,太平灵活配置,混合型,独孤南薰,太平基金
000992,广发对冲套利定期开放混合,混合型,魏军,广发基金
000993,华宝稳健回报混合,混合型,闫旭,华宝基金
000994,建信睿盈灵活配置混合A,混合型,许杰,建信基金
000995,建信睿盈灵活配置混合C,混合型,许杰,建信基金
001000,中欧明睿新起点混合,混合型,周晶,中欧基金
001004,新华稳健回报混合发起式,混合型,崔建波,新华基金
